Program Kodu,Üniversite İsmi,Program İsmi,Başarı Sırası,Başarı Puanı
203110477,İSTANBUL MEDİPOL ÜNİVERSİTESİ,"ULUSLARARASI TIP FAKÜLTESİ
Tıp (İngilizce) (Burslu)
(6 Yıllık)",38,551.13218
203910699,KOÇ ÜNİVERSİTESİ (İSTANBUL),"TIP FAKÜLTESİ
Tıp (İngilizce) (Burslu)
(6 Yıllık)",43,550.89027
203910187,KOÇ ÜNİVERSİTESİ (İSTANBUL),"İNSANİ BİLİMLER VE EDEBİYAT FAKÜLTESİ
Tarih (İngilizce) (Burslu)
(4 Yıllık)",64,494.56383
203910275,KOÇ ÜNİVERSİTESİ (İSTANBUL),"İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ
Ekonomi (İngilizce) (Burslu)
(4 Yıllık)",69,527.39628
203910363,KOÇ ÜNİVERSİTESİ (İSTANBUL),"MÜHENDİSLİK FAKÜLTESİ
Bilgisayar Mühendisliği (İngilizce) (Burslu)
(4 Yıllık)",113,547.69436
203910724,KOÇ ÜNİVERSİTESİ (İSTANBUL),"İNSANİ BİLİMLER VE EDEBİYAT FAKÜLTESİ
Medya ve Görsel Sanatlar (İngilizce) (Burslu)
(4 Yıllık)",126,482.53512
203910309,KOÇ ÜNİVERSİTESİ (İSTANBUL),"İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ
İşletme (İngilizce) (Burslu)
(4 Yıllık)",165,517.80171
203910018,KOÇ ÜNİVERSİTESİ (İSTANBUL),"İNSANİ BİLİMLER VE EDEBİYAT FAKÜLTESİ
Arkeoloji ve Sanat Tarihi (İngilizce) (Burslu)
(4 Yıllık)",182,476.40601
203910830,KOÇ ÜNİVERSİTESİ (İSTANBUL),"İNSANİ BİLİMLER VE EDEBİYAT FAKÜLTESİ
Karşılaştırmalı Edebiyat (İngilizce) (Burslu)
(4 Yıllık)",209,526.13015
200110071,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL),"TIP FAKÜLTESİ
Tıp (İngilizce) (Burslu)
(6 Yıllık)",210,545.26965
203910796,KOÇ ÜNİVERSİTESİ (İSTANBUL),"HUKUK FAKÜLTESİ
Hukuk (Burslu)
(4 Yıllık)",253,510.7839
203910399,KOÇ ÜNİVERSİTESİ (İSTANBUL),"MÜHENDİSLİK FAKÜLTESİ
Elektrik-Elektronik Mühendisliği (İngilizce) (Burslu)
(4 Yıllık)",281,544.0313
104010113,GALATASARAY ÜNİVERSİTESİ (İSTANBUL),"İLETİŞİM FAKÜLTESİ
İletişim (Fransızca)
(4 Yıllık)",283,468.54193
205410026,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ (ANKARA),"FEN-EDEBİYAT FAKÜLTESİ
Tarih (Burslu)
(4 Yıllık)",287,468.29711
205110144,SABANCI ÜNİVERSİTESİ (İSTANBUL),"YÖNETİM BİLİMLERİ FAKÜLTESİ
Yönetim Bilimleri Programları (İngilizce) (Burslu)
(4 Yıllık)",290,508.28682
202110408,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),"MÜHENDİSLİK FAKÜLTESİ
Bilgisayar Mühendisliği (İngilizce) (Burslu)
(4 Yıllık)",299,543.70192
203190981,İSTANBUL MEDİPOL ÜNİVERSİTESİ,"MÜHENDİSLİK VE DOĞA BİLİMLERİ FAKÜLTESİ
Yapay Zeka Mühendisliği (İngilizce) (Burslu)
(4 Yıllık)",337,543.16629
102270217,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),"İNSAN VE TOPLUM BİLİMLERİ FAKÜLTESİ
Tarih (İngilizce)
(4 Yıllık)",340,465.24011
204890153,ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL),"UYGULAMALI BİLİMLER FAKÜLTESİ
Gastronomi ve Mutfak Sanatları (İngilizce) (Burslu)
(4 Yıllık)",351,464.63338
202110426,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),"MÜHENDİSLİK FAKÜLTESİ
Elektrik-Elektronik Mühendisliği (İngilizce) (Burslu)
(4 Yıllık)",373,542.68584
202111106,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),"HUKUK FAKÜLTESİ
Hukuk (Burslu)
(4 Yıllık)",376,504.01538
202110205,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),"İKTİSADİ, İDARİ VE SOSYAL BİLİMLER FAKÜLTESİ
İktisat (İngilizce) (Burslu)
(4 Yıllık)",387,503.60245
202190187,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),"GÜZEL SANATLAR TASARIM VE MİMARLIK FAKÜLTESİ
İletişim ve Tasarımı (İngilizce) (Burslu)
(4 Yıllık)",389,463.00403
203910336,KOÇ ÜNİVERSİTESİ (İSTANBUL),"İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ
Uluslararası İlişkiler (İngilizce) (Burslu)
(4 Yıllık)",398,503.20504
104010052,GALATASARAY ÜNİVERSİTESİ (İSTANBUL),"HUKUK FAKÜLTESİ
Hukuk (Fransızca)
(4 Yıllık)",426,502.12814
205110074,SABANCI ÜNİVERSİTESİ (İSTANBUL),"SANAT VE SOSYAL BİLİMLER FAKÜLTESİ
Sanat ve Sosyal Bilimler Programları (İngilizce) (Burslu)
(4 Yıllık)",430,501.85088
204890044,ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL),"MİMARLIK VE TASARIM FAKÜLTESİ
İletişim ve Tasarımı (İngilizce) (Burslu)
(4 Yıllık)",484,458.69564
202110241,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),"İKTİSADİ, İDARİ VE SOSYAL BİLİMLER FAKÜLTESİ
Psikoloji (İngilizce) (Burslu)
(4 Yıllık)",522,497.6099
205410892,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ (ANKARA),"MİMARLIK VE TASARIM FAKÜLTESİ
Görsel İletişim Tasarımı (Burslu)
(4 Yıllık)",547,456.32743
202210329,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,"İLAHİYAT FAKÜLTESİ
İlahiyat (Burslu)
(4 Yıllık)",558,456.00363
102210223,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),"İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ
İşletme (İngilizce)
(4 Yıllık)",578,495.76069
102210214,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),"İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ
İktisat (İngilizce)
(4 Yıllık)",598,494.64952
205410283,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ (ANKARA),"HUKUK FAKÜLTESİ
Hukuk (Burslu)
(4 Yıllık)",616,494.12368
203910133,KOÇ ÜNİVERSİTESİ (İSTANBUL),"İNSANİ BİLİMLER VE EDEBİYAT FAKÜLTESİ
Psikoloji (İngilizce) (Burslu)
(4 Yıllık)",624,493.81997
203910169,KOÇ ÜNİVERSİTESİ (İSTANBUL),"İNSANİ BİLİMLER VE EDEBİYAT FAKÜLTESİ
Sosyoloji (İngilizce) (Burslu)
(4 Yıllık)",631,493.6097
202110383,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),"İŞLETME FAKÜLTESİ
İşletme (İngilizce) (Burslu)
(4 Yıllık)",657,492.62633
206111642,YEDİTEPE ÜNİVERSİTESİ (İSTANBUL),"İLETİŞİM FAKÜLTESİ
Görsel İletişim Tasarımı (İngilizce) (Burslu)
(4 Yıllık)",671,451.95923
202190179,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),"İNSANİ BİLİMLER VE EDEBİYAT FAKÜLTESİ
İngilizce, Fransızca Mütercim ve Tercümanlık (Burslu)
(4 Yıllık)",680,507.63481
205410035,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ (ANKARA),"FEN-EDEBİYAT FAKÜLTESİ
Türk Dili ve Edebiyatı (Burslu)
(4 Yıllık)",695,451.06973
206110574,YEDİTEPE ÜNİVERSİTESİ (İSTANBUL),"İLETİŞİM FAKÜLTESİ
Reklam Tasarımı ve İletişimi (İngilizce) (Burslu)
(4 Yıllık)",701,450.84972
203910424,KOÇ ÜNİVERSİTESİ (İSTANBUL),"MÜHENDİSLİK FAKÜLTESİ
Endüstri Mühendisliği (İngilizce) (Burslu)
(4 Yıllık)",708,538.55385
206100815,YEDİTEPE ÜNİVERSİTESİ (İSTANBUL),"SANAT VE TASARIM FAKÜLTESİ
Gastronomi ve Mutfak Sanatları (İngilizce) (Burslu)
(4 Yıllık)",710,450.44377
206100409,YEDİTEPE ÜNİVERSİTESİ (İSTANBUL),"İNSAN VE TOPLUM BİLİMLERİ FAKÜLTESİ
Tarih (İngilizce) (Burslu)
(4 Yıllık)",724,449.97446
206110556,YEDİTEPE ÜNİVERSİTESİ (İSTANBUL),"İLETİŞİM FAKÜLTESİ
Radyo, Televizyon ve Sinema (İngilizce) (Burslu)
(4 Yıllık)",727,449.96587
102270231,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),"İNSAN VE TOPLUM BİLİMLERİ FAKÜLTESİ
Türk Dili ve Edebiyatı (İngilizce)
(4 Yıllık)",768,449.06221
102270154,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),"İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ
Yönetim Bilişim Sistemleri (İngilizce)
(4 Yıllık)",788,488.77394
206110511,YEDİTEPE ÜNİVERSİTESİ (İSTANBUL),"İLETİŞİM FAKÜLTESİ
Gazetecilik (İngilizce) (Burslu)
(4 Yıllık)",795,448.33449
203910054,KOÇ ÜNİVERSİTESİ (İSTANBUL),"FEN FAKÜLTESİ
Fizik (İngilizce) (Burslu)
(4 Yıllık)",823,537.50824
206110538,YEDİTEPE ÜNİVERSİTESİ (İSTANBUL),"İLETİŞİM FAKÜLTESİ
Halkla İlişkiler ve Tanıtım (İngilizce) (Burslu)
(4 Yıllık)",874,446.09676
204810476,ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL),"İŞLETME FAKÜLTESİ
Yönetim Bilişim Sistemleri (İngilizce) (Burslu)
(4 Yıllık)",898,485.71623
208610103,İBN HALDUN ÜNİVERSİTESİ (İSTANBUL),"İNSAN VE TOPLUM BİLİMLERİ FAKÜLTESİ
Tarih (İngilizce) (Burslu)
(4 Yıllık)",912,445.16282
203711584,KADİR HAS ÜNİVERSİTESİ (İSTANBUL),"İLETİŞİM FAKÜLTESİ
Radyo, Televizyon ve Sinema (İngilizce) (Burslu)
(4 Yıllık)",943,444.59303
102270147,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),"İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ
Uluslararası Ticaret (İngilizce)
(4 Yıllık)",945,485.01517
202110938,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),"İNSANİ BİLİMLER VE EDEBİYAT FAKÜLTESİ
İngiliz Dili ve Edebiyatı (İngilizce) (Burslu)
(4 Yıllık)",946,501.5649
108410196,ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA),"FEN-EDEBİYAT FAKÜLTESİ
Tarih (İngilizce)
(4 Yıllık)",950,444.35562
200590271,BAHÇEŞEHİR ÜNİVERSİTESİ (İSTANBUL),"İLETİŞİM FAKÜLTESİ
Görsel İletişim Tasarımı (İngilizce) (Burslu)
(4 Yıllık)",964,444.06435
204810334,ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL),"İŞLETME FAKÜLTESİ
Ekonomi (İngilizce) (Burslu)
(4 Yıllık)",964,484.39388
203110035,İSTANBUL MEDİPOL ÜNİVERSİTESİ,"TIP FAKÜLTESİ
Tıp (Burslu)
(6 Yıllık)",1.028,535.80502
202110286,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),"İKTİSADİ, İDARİ VE SOSYAL BİLİMLER FAKÜLTESİ
Uluslararası İlişkiler (İngilizce) (Burslu)
(4 Yıllık)",1.050,481.64548
205410053,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ (ANKARA),"İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ
İktisat (Burslu)
(4 Yıllık)",1.051,481.63873
205410071,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ (ANKARA),"İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ
İşletme (Burslu)
(4 Yıllık)",1.056,481.52889
203790376,KADİR HAS ÜNİVERSİTESİ (İSTANBUL),"İLETİŞİM FAKÜLTESİ
Yeni Medya ve İletişim (İngilizce) (Burslu)
(4 Yıllık)",1.073,441.55493
203711548,KADİR HAS ÜNİVERSİTESİ (İSTANBUL),"İLETİŞİM FAKÜLTESİ
Görsel İletişim Tasarımı (İngilizce) (Burslu)
(4 Yıllık)",1.074,441.54013
204810016,ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL),"İŞLETME FAKÜLTESİ
İşletme (İngilizce) (Burslu)
(4 Yıllık)",1.115,480.02849
104811033,HACETTEPE ÜNİVERSİTESİ (ANKARA),"EĞİTİM FAKÜLTESİ
Özel Eğitim Öğretmenliği
(4 Yıllık)",1.118,440.68908
203590149,İZMİR EKONOMİ ÜNİVERSİTESİ,"UYGULAMALI YÖNETİM BİLİMLERİ YÜKSEKOKULU
Gastronomi ve Mutfak Sanatları (İngilizce) (Burslu)
(4 Yıllık)",1.137,440.29582
203910115,KOÇ ÜNİVERSİTESİ (İSTANBUL),"FEN FAKÜLTESİ
Matematik (İngilizce) (Burslu)
(4 Yıllık)",1.137,535.0608
104810626,HACETTEPE ÜNİVERSİTESİ (ANKARA),"TIP FAKÜLTESİ
Tıp (İngilizce)
(6 Yıllık)",1.169,534.82259
204810228,ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL),"HUKUK FAKÜLTESİ
Hukuk (Burslu)
(4 Yıllık)",1.181,478.65655
108410336,ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA),"MÜHENDİSLİK FAKÜLTESİ
Bilgisayar Mühendisliği (İngilizce)
(4 Yıllık)",1.204,534.56656
208610033,İBN HALDUN ÜNİVERSİTESİ (İSTANBUL),"İSLAMİ İLİMLER FAKÜLTESİ
İslami İlimler (Burslu)
(4 Yıllık)",1.204,439.24456
102270168,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),"İNSAN VE TOPLUM BİLİMLERİ FAKÜLTESİ
Çeviribilimi (İngilizce)
(4 Yıllık)",1.220,496.55454
203910487,KOÇ ÜNİVERSİTESİ (İSTANBUL),"MÜHENDİSLİK FAKÜLTESİ
Makine Mühendisliği (İngilizce) (Burslu)
(4 Yıllık)",1.226,534.45394
203910036,KOÇ ÜNİVERSİTESİ (İSTANBUL),"İNSANİ BİLİMLER VE EDEBİYAT FAKÜLTESİ
Felsefe (İngilizce) (Burslu)
(4 Yıllık)",1.234,477.24689
104010061,GALATASARAY ÜNİVERSİTESİ (İSTANBUL),"İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ
İktisat (Fransızca)
(4 Yıllık)",1.282,476.30657
206710460,TED ÜNİVERSİTESİ (ANKARA),"MİMARLIK VE TASARIM FAKÜLTESİ
Görsel İletişim Tasarımı (İngilizce) (Burslu)
(4 Yıllık)",1.288,438.05501
104010079,GALATASARAY ÜNİVERSİTESİ (İSTANBUL),"İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ
İşletme (Fransızca)
(4 Yıllık)",1.303,475.83274
203190967,İSTANBUL MEDİPOL ÜNİVERSİTESİ,"TIP FAKÜLTESİ
Tıp (İngilizce) (Burslu)
(6 Yıllık)",1.321,533.83234
108410212,ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA),"İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ
İşletme (İngilizce)
(4 Yıllık)",1.337,475.3227
102270035,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),"HUKUK FAKÜLTESİ
Hukuk
(4 Yıllık)",1.367,474.75723
108410203,ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA),"İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ
İktisat (İngilizce)
(4 Yıllık)",1.380,474.43271
111610025,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,"CERRAHPAŞA TIP FAKÜLTESİ
Tıp (İngilizce)
(6 Yıllık)",1.391,533.46922
102210083,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),"EĞİTİM FAKÜLTESİ
Okul Öncesi Öğretmenliği (İngilizce)
(4 Yıllık)",1.395,436.31743
102210232,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),"İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ
Siyaset Bilimi ve Uluslararası İlişkiler (İngilizce)
(4 Yıllık)",1.397,474.16777
105510608,İSTANBUL TEKNİK ÜNİVERSİTESİ,"BİLGİSAYAR VE BİLİŞİM FAKÜLTESİ
Bilgisayar Mühendisliği (İngilizce)
(4 Yıllık)",1.435,533.13588
102210277,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),"MÜHENDİSLİK FAKÜLTESİ
Bilgisayar Mühendisliği (İngilizce)
(4 Yıllık)",1.448,533.05003
208610114,İBN HALDUN ÜNİVERSİTESİ (İSTANBUL),"İLETİŞİM FAKÜLTESİ
Yeni Medya ve İletişim (İngilizce) (Burslu)
(4 Yıllık)",1.475,435.32592
108410354,ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA),"MÜHENDİSLİK FAKÜLTESİ
Elektrik-Elektronik Mühendisliği (İngilizce)
(4 Yıllık)",1.484,532.88444
203711618,KADİR HAS ÜNİVERSİTESİ (İSTANBUL),"İLETİŞİM FAKÜLTESİ
Reklamcılık (İngilizce) (Burslu)
(4 Yıllık)",1.502,434.94243
203590170,İZMİR EKONOMİ ÜNİVERSİTESİ,"İLETİŞİM FAKÜLTESİ
Yeni Medya ve İletişim (İngilizce) (Burslu)
(4 Yıllık)",1.518,434.62145
202111115,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),"HUKUK FAKÜLTESİ
Hukuk (%50 İndirimli)
(4 Yıllık)",1.548,471.41953
105511051,İSTANBUL TEKNİK ÜNİVERSİTESİ,"İŞLETME FAKÜLTESİ
Ekonomi (İngilizce)
(4 Yıllık)",1.550,471.36296
105610291,İSTANBUL ÜNİVERSİTESİ,"EDEBİYAT FAKÜLTESİ
Tarih
(4 Yıllık)",1.565,433.9446
204890046,ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL),"İŞLETME FAKÜLTESİ
Uluslararası Ticaret ve İşletmecilik (İngilizce) (Burslu)
(4 Yıllık)",1.618,470.21781
205410389,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ (ANKARA),"İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ
Uluslararası Girişimcilik (Burslu)
(4 Yıllık)",1.632,469.90234
102270189,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),"İNSAN VE TOPLUM BİLİMLERİ FAKÜLTESİ
İngiliz Dili ve Edebiyatı (İngilizce)
(4 Yıllık)",1.636,489.63218
202110902,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),"İNSANİ BİLİMLER VE EDEBİYAT FAKÜLTESİ
Amerikan Kültürü ve Edebiyatı (İngilizce) (Burslu)
(4 Yıllık)",1.642,489.56419
102270175,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),"İNSAN VE TOPLUM BİLİMLERİ FAKÜLTESİ
Dilbilimi (İngilizce)
(4 Yıllık)",1.646,489.5198
204811014,ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL),"İŞLETME FAKÜLTESİ
Uluslararası Finans (İngilizce) (Burslu)
(4 Yıllık)",1.655,469.53838
204811077,ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL),"HAVACILIK VE UZAY BİLİMLERİ FAKÜLTESİ
Pilotaj (İngilizce) (Burslu)
(4 Yıllık)",1.657,531.76095
200590190,BAHÇEŞEHİR ÜNİVERSİTESİ (İSTANBUL),"UYGULAMALI BİLİMLER YÜKSEKOKULU
Gastronomi ve Mutfak Sanatları (İngilizce) (Burslu)
(4 Yıllık)",1.661,432.7813
104010097,GALATASARAY ÜNİVERSİTESİ (İSTANBUL),"İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ
Uluslararası İlişkiler (Fransızca)
(4 Yıllık)",1.688,468.9837
203410129,İSTANBUL TİCARET ÜNİVERSİTESİ,"İLETİŞİM FAKÜLTESİ
Medya ve İletişim (Burslu)
(4 Yıllık)",1.736,431.80351
200510225,BAHÇEŞEHİR ÜNİVERSİTESİ (İSTANBUL),"İLETİŞİM FAKÜLTESİ
Sinema ve Televizyon (İngilizce) (Burslu)
(4 Yıllık)",1.747,431.71689
102270203,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),"İNSAN VE TOPLUM BİLİMLERİ FAKÜLTESİ
Psikoloji (İngilizce)
(4 Yıllık)",1.832,467.1586
104810617,HACETTEPE ÜNİVERSİTESİ (ANKARA),"TIP FAKÜLTESİ
Tıp
(6 Yıllık)",1.836,530.58733
203211129,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,"EĞİTİM FAKÜLTESİ
Özel Eğitim Öğretmenliği (Burslu)
(4 Yıllık)",1.839,430.86067
202590233,İSTANBUL BİLGİ ÜNİVERSİTESİ,"İLETİŞİM FAKÜLTESİ
Yeni Medya ve İletişim (İngilizce) (Burslu)
(4 Yıllık)",1.847,430.71436
202110268,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),"İKTİSADİ, İDARİ VE SOSYAL BİLİMLER FAKÜLTESİ
Siyaset Bilimi ve Kamu Yönetimi (İngilizce) (Burslu)
(4 Yıllık)",1.852,466.71748
101111394,ANKARA ÜNİVERSİTESİ,"EĞİTİM BİLİMLERİ FAKÜLTESİ
Özel Eğitim Öğretmenliği
(4 Yıllık)",1.855,430.62134
200510261,BAHÇEŞEHİR ÜNİVERSİTESİ (İSTANBUL),"İLETİŞİM FAKÜLTESİ
Yeni Medya (İngilizce) (Burslu)
(4 Yıllık)",1.869,430.49615
105690587,İSTANBUL ÜNİVERSİTESİ,"HUKUK FAKÜLTESİ
Hukuk (UOLP-Hamburg Üniversitesi) (Ücretli)
(4 Yıllık)",1.873,466.29835
205410486,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ (ANKARA),"FEN-EDEBİYAT FAKÜLTESİ
İngiliz Dili ve Edebiyatı (İngilizce) (Burslu)
(4 Yıllık)",1.875,486.37029
105590133,İSTANBUL TEKNİK ÜNİVERSİTESİ,"BİLGİSAYAR VE BİLİŞİM FAKÜLTESİ
Yapay Zeka ve Veri Mühendisliği (İngilizce)
(4 Yıllık)",1.947,529.88486
108410275,ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA),"İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ
Uluslararası İlişkiler (İngilizce)
(4 Yıllık)",1.969,465.09845
102210286,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),"MÜHENDİSLİK FAKÜLTESİ
Elektrik-Elektronik Mühendisliği (İngilizce)
(4 Yıllık)",1.993,529.60314
202512269,İSTANBUL BİLGİ ÜNİVERSİTESİ,"UYGULAMALI BİLİMLER FAKÜLTESİ
Gastronomi ve Mutfak Sanatları (İngilizce) (Burslu)
(4 Yıllık)",1.995,429.30144
205411112,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ (ANKARA),"İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ
Siyaset Bilimi ve Uluslararası İlişkiler (Burslu)
(4 Yıllık)",1.996,464.72929
206111969,YEDİTEPE ÜNİVERSİTESİ (İSTANBUL),"HUKUK FAKÜLTESİ
Hukuk (Burslu)
(4 Yıllık)",2.041,464.27941
102210056,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),"EĞİTİM FAKÜLTESİ
İngilizce Öğretmenliği (İngilizce)
(4 Yıllık)",2.042,484.34265
203910557,KOÇ ÜNİVERSİTESİ (İSTANBUL),"FEN FAKÜLTESİ
Moleküler Biyoloji ve Genetik (İngilizce) (Burslu)
(4 Yıllık)",2.045,529.37012
206100437,YEDİTEPE ÜNİVERSİTESİ (İSTANBUL),"İŞLETME FAKÜLTESİ
Ekonomi (İngilizce) (Burslu)
(4 Yıllık)",2.046,464.23797
203910451,KOÇ ÜNİVERSİTESİ (İSTANBUL),"MÜHENDİSLİK FAKÜLTESİ
Kimya-Biyoloji Mühendisliği (İngilizce) (Burslu)
(4 Yıllık)",2.047,529.36121
102210295,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),"MÜHENDİSLİK FAKÜLTESİ
Endüstri Mühendisliği (İngilizce)
(4 Yıllık)",2.050,529.34885
203910706,KOÇ ÜNİVERSİTESİ (İSTANBUL),"TIP FAKÜLTESİ
Tıp (İngilizce) (%50 İndirimli)
(6 Yıllık)",2.055,529.31192
204810731,ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL),"SOSYAL BİLİMLER FAKÜLTESİ
Uluslararası İlişkiler (İngilizce) (Burslu)
(4 Yıllık)",2.069,463.9942
206100262,YEDİTEPE ÜNİVERSİTESİ (İSTANBUL),"İNSAN VE TOPLUM BİLİMLERİ FAKÜLTESİ
Çeviribilimi (İngilizce) (Burslu)
(4 Yıllık)",2.071,483.99547
112410952,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,"HAVACILIK VE UZAY BİLİMLERİ FAKÜLTESİ
Pilotaj
(4 Yıllık)",2.090,529.12496
205110117,SABANCI ÜNİVERSİTESİ (İSTANBUL),"MÜHENDİSLİK VE DOĞA BİLİMLERİ FAKÜLTESİ
Mühendislik ve Doğa Bilimleri Programları (İngilizce) (Burslu)
(4 Yıllık)",2.093,529.11504
102270140,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),"İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ
Turizm İşletmeciliği (İngilizce)
(4 Yıllık)",2.096,463.70222
205411015,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ (ANKARA),"TIP FAKÜLTESİ
Tıp (Burslu)
(6 Yıllık)",2.106,529.04318
108410099,ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA),"EĞİTİM FAKÜLTESİ
Okul Öncesi Öğretmenliği (İngilizce)
(4 Yıllık)",2.111,428.30558
105510626,İSTANBUL TEKNİK ÜNİVERSİTESİ,"ELEKTRİK-ELEKTRONİK FAKÜLTESİ
Elektronik ve Haberleşme Mühendisliği (İngilizce)
(4 Yıllık)",2.126,528.92344
108410239,ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA),"İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ
İşletme (İngilizce) (UOLP-SUNY Binghamton) (%50 İndirimli)
(4 Yıllık)",2.129,463.21827
208450803,İSTİNYE ÜNİVERSİTESİ (İSTANBUL),"GÜZEL SANATLAR TASARIM VE MİMARLIK FAKÜLTESİ
Gastronomi ve Mutfak Sanatları (İngilizce) (Burslu)
(4 Yıllık)",2.133,428.0636
108410178,ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA),"FEN-EDEBİYAT FAKÜLTESİ
Psikoloji (İngilizce)
(4 Yıllık)",2.140,463.09164
